ds,total
11/07/2021,68248
12/07/2021,155740
13/07/2021,146555
14/07/2021,132943
15/07/2021,123819
16/07/2021,104059
17/07/2021,77234
18/07/2021,87100
19/07/2021,149718
20/07/2021,138344
21/07/2021,137722
22/07/2021,131464
23/07/2021,106039
24/07/2021,81552
25/07/2021,89800
26/07/2021,149370
27/07/2021,145284
28/07/2021,138952
29/07/2021,125120
30/07/2021,114696
31/07/2021,82577
01/08/2021,84423
02/08/2021,150090
03/08/2021,134640
04/08/2021,127942
05/08/2021,125480
06/08/2021,112746
07/08/2021,96009
08/08/2021,98994
09/08/2021,170972
10/08/2021,140510
11/08/2021,131589
12/08/2021,131589
13/08/2021,110110
14/08/2021,78020
15/08/2021,82014
16/08/2021,153603
17/08/2021,140734
18/08/2021,130052
19/08/2021,119239
20/08/2021,100796
21/08/2021,76452
22/08/2021,80793
23/08/2021,142630
